WordCount,total,success,efficiency,throughput,ops,distance
1,931,767,82.3845327605,767,76.7,10
2,762,670,87.9265091864,1340,67,10
3,697,633,90.8177905308,1899,63.3,10
4,657,563,85.6925418569,2252,56.3,10
5,588,514,87.4149659864,2570,51.4,10
6,540,461,85.3703703704,2766,46.1,10
7,497,406,81.6901408451,2842,40.6,10
8,472,391,82.8389830508,3128,39.1,10
9,429,334,77.8554778555,3006,33.4,10
10,429,343,79.9533799534,3430,34.3,10
11,390,302,77.4358974359,3322,30.2,10
12,368,272,73.9130434783,3264,27.2,10
13,362,254,70.1657458564,3302,25.4,10
14,349,254,72.7793696275,3556,25.4,10
15,327,236,72.1712538226,3540,23.6,10
16,326,230,70.5521472393,3680,23,10
17,304,203,66.7763157895,3451,20.3,10
18,301,215,71.4285714286,3870,21.5,10
19,287,193,67.2473867596,3667,19.3,10
20,277,170,61.3718411552,3400,17,10
21,280,163,58.2142857143,3423,16.3,10
22,261,159,60.9195402299,3498,15.9,10
23,256,148,57.8125,3404,14.8,10
24,252,136,53.9682539683,3264,13.6,10
25,245,152,62.0408163265,3800,15.2,10
26,245,136,55.5102040816,3536,13.6,10
27,233,117,50.2145922747,3159,11.7,10
28,232,123,53.0172413793,3444,12.3,10
29,227,127,55.9471365639,3683,12.7,10
30,228,113,49.5614035088,3390,11.3,10
31,225,125,55.5555555556,3875,12.5,10
32,223,111,49.7757847534,3552,11.1,10
1,845,766,90.650887574,766,76.6,20
2,757,683,90.2245706737,1366,68.3,20
3,676,606,89.6449704142,1818,60.6,20
4,587,510,86.8824531516,2040,51,20
5,544,442,81.25,2210,44.2,20
6,529,452,85.4442344045,2712,45.2,20
7,477,390,81.7610062893,2730,39,20
8,439,345,78.5876993166,2760,34.5,20
9,409,305,74.5721271394,2745,30.5,20
10,399,295,73.9348370927,2950,29.5,20
11,385,295,76.6233766234,3245,29.5,20
12,368,277,75.2717391304,3324,27.7,20
13,341,238,69.7947214076,3094,23.8,20
14,318,194,61.0062893082,2716,19.4,20
15,335,222,66.2686567164,3330,22.2,20
16,309,192,62.1359223301,3072,19.2,20
17,305,190,62.2950819672,3230,19,20
18,296,191,64.527027027,3438,19.1,20
19,293,179,61.0921501706,3401,17.9,20
20,276,159,57.6086956522,3180,15.9,20
21,267,149,55.8052434457,3129,14.9,20
22,263,146,55.5133079848,3212,14.6,20
23,248,117,47.1774193548,2691,11.7,20
24,268,147,54.8507462687,3528,14.7,20
25,234,122,52.1367521368,3050,12.2,20
26,235,115,48.9361702128,2990,11.5,20
27,234,123,52.5641025641,3321,12.3,20
28,226,93,41.1504424779,2604,9.3,20
29,222,106,47.7477477477,3074,10.6,20
30,226,99,43.8053097345,2970,9.9,20
31,219,94,42.9223744292,2914,9.4,20
32,218,97,44.495412844,3104,9.7,20
1,867,803,92.6182237601,803,80.3,30
2,762,690,90.5511811024,1380,69,30
3,697,629,90.243902439,1887,62.9,30
4,595,515,86.5546218487,2060,51.5,30
5,584,510,87.3287671233,2550,51,30
6,509,410,80.5500982318,2460,41,30
7,486,380,78.1893004115,2660,38,30
8,453,348,76.821192053,2784,34.8,30
9,433,331,76.4434180139,2979,33.1,30
10,419,329,78.5202863962,3290,32.9,30
11,385,274,71.1688311688,3014,27.4,30
12,368,262,71.1956521739,3144,26.2,30
13,366,265,72.4043715847,3445,26.5,30
14,346,247,71.387283237,3458,24.7,30
15,319,198,62.0689655172,2970,19.8,30
16,310,191,61.6129032258,3056,19.1,30
17,310,190,61.2903225806,3230,19,30
18,299,175,58.5284280936,3150,17.5,30
19,289,173,59.8615916955,3287,17.3,30
20,283,160,56.5371024735,3200,16,30
21,275,156,56.7272727273,3276,15.6,30
22,279,162,58.064516129,3564,16.2,30
23,262,147,56.106870229,3381,14.7,30
