payload, total, success, efficiency, throughput, ops
1,1419,1333,0.939394,266.6,133.3
1,1477,1393,0.943128,278.6,139.3
1,1443,1345,0.932086,269,134.5
1,1494,1421,0.951138,284.2,142.1
1,1488,1418,0.952957,283.6,141.8
2,1028,958,0.931907,383.2,95.8
2,1016,941,0.926181,376.4,94.1
2,1045,983,0.94067,393.2,98.3
2,1019,944,0.926398,377.6,94.4
2,1007,931,0.924528,372.4,93.1
3,851,772,0.907168,463.2,77.2
3,843,758,0.89917,454.8,75.8
3,814,713,0.875921,427.8,71.3
3,829,736,0.887817,441.6,73.6
3,832,739,0.888221,443.4,73.9
4,685,572,0.835036,457.6,57.2
4,707,608,0.859972,486.4,60.8
4,715,619,0.865734,495.2,61.9
4,700,595,0.85,476,59.5
4,709,611,0.861777,488.8,61.1
5,616,505,0.819805,505,50.5
5,632,534,0.844937,534,53.4
5,608,498,0.819079,498,49.8
5,606,491,0.810231,491,49.1
5,605,490,0.809917,490,49
6,547,435,0.795247,522,43.5
6,553,443,0.801085,531.6,44.3
6,543,426,0.78453,511.2,42.6
6,562,457,0.813167,548.4,45.7
6,550,436,0.792727,523.2,43.6
7,503,392,0.779324,548.8,39.2
7,512,406,0.792969,568.4,40.6
7,504,390,0.77381,546,39
7,490,365,0.744898,511,36.5
7,496,377,0.760081,527.8,37.7
8,452,321,0.710177,513.6,32.1
8,444,310,0.698198,496,31
8,449,320,0.712695,512,32
8,453,328,0.724062,524.8,32.8
8,458,342,0.746725,547.2,34.2
9,419,294,0.701671,529.2,29.4
9,422,299,0.708531,538.2,29.9
9,425,313,0.736471,563.4,31.3
9,422,297,0.703791,534.6,29.7
9,422,289,0.684834,520.2,28.9
10,397,270,0.680101,540,27
10,395,267,0.675949,534,26.7
10,406,292,0.719212,584,29.2
10,399,277,0.694236,554,27.7
10,405,289,0.71358,578,28.9
11,379,256,0.675462,563.2,25.6
11,378,254,0.671958,558.8,25.4
11,371,243,0.654987,534.6,24.3
11,382,269,0.704188,591.8,26.9
11,378,262,0.693122,576.4,26.2
12,350,221,0.631429,530.4,22.1
12,348,213,0.612069,511.2,21.3
12,343,210,0.612245,504,21
12,350,219,0.625714,525.6,21.9
12,360,237,0.658333,568.8,23.7
13,332,196,0.590361,509.6,19.6
13,327,197,0.602446,512.2,19.7
13,328,193,0.588415,501.8,19.3
13,334,210,0.628743,546,21
13,325,191,0.587692,496.6,19.1
14,317,186,0.586751,520.8,18.6
14,319,191,0.598746,534.8,19.1
14,321,196,0.610592,548.8,19.6
14,312,186,0.596154,520.8,18.6
14,321,194,0.604361,543.2,19.4
15,307,188,0.612378,564,18.8
15,306,179,0.584967,537,17.9
15,302,161,0.533113,483,16.1
15,293,149,0.508532,447,14.9
15,300,180,0.6,540,18
16,290,152,0.524138,486.4,15.2
16,287,150,0.522648,480,15
16,287,158,0.550523,505.6,15.8
16,286,155,0.541958,496,15.5
16,291,167,0.573883,534.4,16.7
