payload, total, success, efficiency, throughput, ops
1,829,766,0.924005,153.2,76.6
2,741,683,0.921727,273.2,68.3
3,661,606,0.916793,363.6,60.6
4,580,510,0.87931,408,51
5,537,442,0.823091,442,44.2
6,519,452,0.870906,542.4,45.2
7,473,390,0.824524,546,39
8,433,345,0.796767,552,34.5
9,405,305,0.753086,549,30.5
10,391,295,0.754476,590,29.5
11,384,295,0.768229,649,29.5
12,367,277,0.754768,664.8,27.7
13,338,238,0.704142,618.8,23.8
14,315,194,0.615873,543.2,19.4
15,324,222,0.685185,666,22.2
16,306,192,0.627451,614.4,19.2
17,303,190,0.627063,646,19
18,292,191,0.65411,687.6,19.1
19,291,179,0.61512,680.2,17.9
20,272,159,0.584559,636,15.9
21,267,149,0.558052,625.8,14.9
22,259,146,0.563707,642.4,14.6
23,243,117,0.481481,538.2,11.7
24,252,147,0.583333,705.6,14.7
25,233,122,0.523605,610,12.2
26,229,115,0.502183,598,11.5
27,228,123,0.539474,664.2,12.3
28,223,93,0.41704,520.8,9.3
29,218,106,0.486239,614.8,10.6
30,219,99,0.452055,594,9.9
31,215,94,0.437209,582.8,9.4
32,209,97,0.464115,620.8,9.7
