payload,messages_sent,messages_resent,resend_ratio,success_reports,total_reports,efficiency,success_opm,total_opm,runtime,time_per_message,messages_per_second,time_per_op,success_ops,total_ops,goodput,throughput
0,665,23,0.03343,3448,6126,0.562847,5.011628,8.90407,235.732,0.342634,2.918569,0.038481,14.62678,25.987138,45.628086,56.912087
0,621,21,0.03271,3436,5928,0.579622,5.352025,9.233645,230.307,0.358734,2.787584,0.038851,14.919217,25.739556,46.702879,57.488483
0,726,27,0.035857,4028,6876,0.585806,5.34927,9.131474,273.004,0.362555,2.758201,0.039704,14.754363,25.186444,39.39869,50.035897
0,666,23,0.033382,3715,6304,0.589308,5.391872,9.149492,238.724,0.346479,2.886178,0.037869,15.561904,26.407064,45.056216,56.215546
0,735,28,0.036697,4034,6875,0.586764,5.287025,9.010485,264.471,0.34662,2.885004,0.038469,15.25309,25.995289,40.669866,51.786396
1,2690,4,0.001485,18122,25848,0.701099,6.7268,9.594655,803.107,0.29811,3.354472,0.03107,22.564864,32.185002,13.392985,26.790951
1,2690,0,0,18221,26048,0.699516,6.773606,9.683271,808.098,0.300408,3.328804,0.031023,22.548008,32.233714,13.310267,26.625484
1,2690,2,0.000743,18284,26134,0.699625,6.791976,9.708024,829.262,0.308047,3.24626,0.031731,22.04852,31.514769,12.970569,25.945962
1,2690,0,0,18163,25889,0.701572,6.752045,9.624164,801.925,0.298113,3.354428,0.030976,22.64925,32.283568,13.412726,26.830439
1,2690,0,0,18127,26073,0.69524,6.738662,9.692565,807.608,0.300226,3.330824,0.030975,22.445295,32.284227,13.318343,26.641638
2,1359,18,0.013072,9009,13836,0.651127,6.542484,10.04793,466.294,0.33863,2.953073,0.033702,19.320429,29.672267,23.066992,34.724873
2,1359,14,0.010197,9082,13989,0.649224,6.614712,10.188638,464.984,0.338663,2.95279,0.033239,19.531855,30.084906,23.131979,34.822704
2,1359,15,0.010917,8841,13682,0.646177,6.434498,9.957787,463.49,0.337329,2.964465,0.033876,19.074845,29.519515,23.206542,34.93495
2,1359,11,0.008029,8817,13653,0.645792,6.435766,9.965693,459.281,0.335242,2.982923,0.03364,19.197398,29.726899,23.419214,35.255105
2,1359,8,0.005852,8880,13742,0.646194,6.495977,10.05267,458.878,0.335683,2.979005,0.033392,19.351549,29.946958,23.439781,35.286067
3,1025,41,0.038462,6888,11049,0.623405,6.461538,10.364916,400.056,0.375287,2.664627,0.036207,17.21759,27.618633,26.886236,37.134801
3,1025,48,0.044734,7029,11248,0.624911,6.550792,10.482759,412.362,0.384308,2.602083,0.036661,17.045703,27.277004,26.083878,36.026598
3,1025,32,0.030274,6508,10674,0.609706,6.157048,10.098392,387.726,0.366817,2.726152,0.036324,16.785049,27.52975,27.74124,38.315718
3,1025,55,0.050926,6979,11267,0.61942,6.462037,10.432407,415.75,0.384954,2.597715,0.0369,16.78653,27.100421,25.871317,35.733013
4, 694, 68, 0.089239, 4731, 8243, 0.573942, 6.208661, 10.817585, 344.879000, 0.452597, 2.209471, 0.041839, 13.717855, 23.901136, 31.187750, 39.236950
4, 694, 78, 0.101036, 4795, 8292, 0.578268, 6.211140, 10.740933, 358.919000, 0.464921, 2.150903, 0.043285, 13.359560, 23.102706, 29.967764, 37.702100
