payload,messages_sent,messages_resent,resend_ratio,success_reports,total_reports,efficiency,success_opm,total_opm,runtime,time_per_message,messages_per_second,time_per_op,success_ops,total_ops,goodput,throughput
1, 2690, 0, 0.000000, 34479, 39172, 0.880195, 12.817472, 14.562082, 696.719000, 0.259003, 3.860954, 0.017786, 49.487670, 56.223528, 7.719037, 23.162853
1, 2690, 0, 0.000000, 34606, 39248, 0.881726, 12.864684, 14.590335, 696.633000, 0.258971, 3.861431, 0.017750, 49.676085, 56.339565, 7.719990, 23.165713
1, 2690, 0, 0.000000, 34632, 39298, 0.881266, 12.874349, 14.608922, 697.034000, 0.259120, 3.859209, 0.017737, 49.684807, 56.378885, 7.715549, 23.152386
1, 2690, 0, 0.000000, 34680, 39266, 0.883207, 12.892193, 14.597026, 696.788000, 0.259029, 3.860572, 0.017745, 49.771236, 56.352865, 7.718273, 23.160560
1, 2690, 0, 0.000000, 34723, 39241, 0.884865, 12.908178, 14.587732, 696.258000, 0.258832, 3.863510, 0.017743, 49.870881, 56.359855, 7.724148, 23.178190
10, 360, 0, 0.000000, 2860, 3795, 0.753623, 7.944444, 10.541667, 98.358000, 0.273217, 3.660099, 0.025918, 29.077452, 38.583542, 54.677810, 69.318205
10, 360, 0, 0.000000, 2963, 3896, 0.760524, 8.230556, 10.822222, 97.588000, 0.271078, 3.688978, 0.025048, 30.362340, 39.922941, 55.109235, 69.865147
10, 362, 3, 0.008219, 2882, 3801, 0.758222, 7.895890, 10.413699, 99.528000, 0.272679, 3.667310, 0.026185, 28.956676, 38.190258, 54.035045, 68.583715
10, 362, 3, 0.008219, 2994, 3882, 0.771252, 8.202740, 10.635616, 99.449000, 0.272463, 3.670223, 0.025618, 30.105883, 39.035083, 54.077970, 68.638196
10, 366, 10, 0.026596, 3069, 4006, 0.766101, 8.162234, 10.654255, 106.579000, 0.283455, 3.527899, 0.026605, 28.795541, 37.587142, 50.460222, 64.196512
11, 363, 6, 0.016260, 3039, 3989, 0.761845, 8.235772, 10.810298, 102.394000, 0.277491, 3.603727, 0.025669, 29.679473, 38.957361, 52.522609, 66.703127
11, 363, 7, 0.018919, 3014, 4001, 0.753312, 8.145946, 10.813514, 101.538000, 0.274427, 3.643956, 0.025378, 29.683468, 39.403967, 52.965392, 67.265457
11, 364, 6, 0.016216, 3028, 3931, 0.770287, 8.183784, 10.624324, 104.678000, 0.282914, 3.534649, 0.026629, 28.926804, 37.553259, 51.376603, 65.285924
11, 366, 9, 0.024000, 3064, 4001, 0.765809, 8.170667, 10.669333, 106.948000, 0.285195, 3.506377, 0.026730, 28.649437, 37.410704, 50.286120, 63.975016
11, 368, 13, 0.034121, 3118, 4118, 0.757164, 8.183727, 10.808399, 109.298000, 0.286871, 3.485883, 0.026542, 28.527512, 37.676810, 49.204926, 62.672693
12, 360, 0, 0.000000, 3102, 3944, 0.786511, 8.616667, 10.955556, 100.268000, 0.278522, 3.590378, 0.025423, 30.937089, 39.334583, 53.636255, 67.997766
12, 363, 6, 0.016260, 3106, 4026, 0.771485, 8.417344, 10.910569, 105.758000, 0.286607, 3.489098, 0.026269, 29.368937, 38.068042, 50.851945, 64.581403
12, 366, 10, 0.026596, 3173, 4081, 0.777506, 8.438830, 10.853723, 105.228000, 0.279862, 3.573193, 0.025785, 30.153571, 38.782453, 51.108070, 65.020717
12, 366, 11, 0.029178, 3092, 4051, 0.763268, 8.201592, 10.745358, 105.608000, 0.280127, 3.569805, 0.026070, 29.278085, 38.358836, 50.924172, 64.786759
12, 370, 15, 0.038961, 3183, 4163, 0.764593, 8.267532, 10.812987, 114.551000, 0.297535, 3.360948, 0.027516, 27.786750, 36.341891, 46.948521, 59.868530
