payload,messages_sent,messages_resent,resend_ratio,success_reports,total_reports,efficiency,success_opm,total_opm,runtime,time_per_message,messages_per_second,time_per_op,success_ops,total_ops,goodput,throughput
1,2561,4,0.001559,17271,26481,0.652203,6.733333,10.323977,713.727,0.278256,3.593811,0.026952,24.198328,37.102422,7.173611,21.526438
1,2561,0,0,17280,26586,0.649966,6.747364,10.381101,720.077,0.28117,3.556564,0.027085,23.997434,36.921051,7.110351,21.336607
1,2561,4,0.001559,17503,26816,0.652707,6.823782,10.454581,720.358,0.280841,3.56073,0.026863,24.297641,37.225935,7.107577,21.328284
1,2561,2,0.00078,17061,26421,0.645736,6.656652,10.308623,719.598,0.280764,3.561711,0.027236,23.709071,36.716333,7.115084,21.35081
1,2561,2,0.00078,17150,26436,0.648737,6.691377,10.314475,721.744,0.281601,3.551121,0.027302,23.761888,36.627946,7.093928,21.287326
2,1281,2,0.001559,7247,12575,0.576302,5.64848,9.801247,378.944,0.295358,3.385725,0.030135,19.124198,33.184323,13.511231,27.033018
2,1281,0,0,7327,12683,0.577702,5.71975,9.900859,383.39,0.29929,3.341245,0.030229,19.111088,33.081197,13.354548,26.719528
2,1281,0,0,7356,12739,0.577439,5.742389,9.944575,380.89,0.297338,3.363176,0.0299,19.312662,33.445352,13.442201,26.894904
2,1281,0,0,7106,12452,0.570671,5.547229,9.720531,375.507,0.293136,3.411388,0.030156,18.923748,33.1605,13.634899,27.28045
2,1281,0,0,7168,12529,0.572113,5.595628,9.78064,377.263,0.294507,3.395509,0.030111,19.000008,33.210254,13.571434,27.153471
3,855,0,0,4580,8169,0.560656,5.356725,9.554386,241.941,0.282972,3.533919,0.029617,18.930235,33.76443,21.162184,35.297862
3,855,0,0,4000,7717,0.518336,4.678363,9.025731,247.652,0.289651,3.452425,0.032092,16.151697,31.160661,20.674172,34.483873
3,855,0,0,4012,7811,0.513635,4.692398,9.135673,249.972,0.292365,3.420383,0.032003,16.049798,31.2475,20.482294,34.163826
3,855,0,0,4339,8055,0.538672,5.074854,9.421053,244.973,0.286518,3.490181,0.030413,17.712156,32.881175,20.900262,34.860985
3,855,0,0,3975,7827,0.507857,4.649123,9.154386,246.118,0.287857,3.473943,0.031445,16.150789,31.801819,20.803029,34.698803
4,641,0,0,2468,5700,0.432982,3.850234,8.892356,197.806,0.30859,3.240549,0.034703,12.476871,28.816113,25.883947,38.846142
4,641,0,0,2616,5787,0.452048,4.081123,9.028081,193.091,0.301234,3.319678,0.033366,13.548016,29.970325,26.515995,39.794708
4,641,0,0,2635,5880,0.448129,4.110764,9.173167,198.321,0.309393,3.232134,0.033728,13.286541,29.648903,25.816731,38.745267
4,641,0,0,2609,5823,0.448051,4.070203,9.084243,197.011,0.307349,3.253625,0.033833,13.242915,29.556725,25.988397,39.002898
4,641,2,0.00311,2547,5758,0.442341,3.96112,8.954899,204.031,0.317311,3.151482,0.035434,12.483397,28.221202,25.094226,37.660944
5,513,9,0.017241,1793,4726,0.379391,3.434866,9.05364,181.603,0.347898,2.874402,0.038426,9.873185,26.023799,28.193367,39.49274
5,513,0,0,1724,4539,0.379819,3.360624,8.847953,171.093,0.333515,2.998369,0.037694,10.076391,26.529431,29.925245,41.918723
5,513,0,0,1832,4611,0.397311,3.57115,8.988304,162.526,0.316815,3.156418,0.035247,11.272043,28.370845,31.502652,44.128324
5,513,0,0,1846,4706,0.392265,3.598441,9.173489,169.849,0.33109,3.02033,0.036092,10.868477,27.706963,30.144422,42.225742
5,513,2,0.003883,1832,4729,0.387397,3.557282,9.182524,170.32,0.330718,3.02372,0.036016,10.756224,27.765383,30.061062,42.108971
6,428,2,0.004651,1408,3913,0.359826,3.274419,9.1,145.255,0.337802,2.960311,0.037121,9.693298,26.938832,35.248356,47.034525
6,428,5,0.011547,1457,4027,0.361808,3.364896,9.300231,151.518,0.349926,2.857746,0.037626,9.616019,26.5777,33.791365,45.090352
6,428,7,0.016092,1381,3956,0.34909,3.174713,9.094253,152.44,0.350437,2.853582,0.038534,9.059302,25.951194,33.586985,44.817633
6,428,5,0.011547,1346,3964,0.339556,3.108545,9.154734,150.65,0.347921,2.874212,0.038005,8.934617,26.312645,33.98606,45.350149
6,428,13,0.029478,1370,4101,0.334065,3.106576,9.29932,159.83,0.362426,2.759182,0.038973,8.571607,25.658512,32.034036,42.745417
7,367,15,0.039267,1156,3511,0.329251,3.026178,9.191099,141.489,0.37039,2.699857,0.040299,8.170246,24.81465,36.186559,46.561924
7,367,12,0.031662,1115,3410,0.326979,2.941953,8.997361,138.3,0.364908,2.740419,0.040557,8.062184,24.656544,37.020969,47.635575
7,367,17,0.044271,1056,3571,0.295715,2.75,9.299479,147.23,0.383411,2.608164,0.041229,7.172451,24.254568,34.775521,44.746315
7,367,15,0.039267,1081,3467,0.311797,2.829843,9.075916,143.549,0.375783,2.661112,0.041404,7.53053,24.152032,35.667263,45.893737
7,367,14,0.036745,1111,3544,0.313488,2.91601,9.301837,144.079,0.37816,2.644383,0.040654,7.711047,24.597617,35.53606,45.724915
8,321,30,0.08547,873,3417,0.255487,2.487179,9.735043,161.99,0.46151,2.1668,0.047407,5.389222,21.093895,31.606889,39.533305
8,321,31,0.088068,893,3565,0.250491,2.536932,10.127841,165.174,0.469244,2.131086,0.046332,5.40642,21.5833,30.997615,38.771235
8,321,38,0.10585,768,3638,0.211105,2.139276,10.133705,176.501,0.491646,2.033983,0.048516,4.35125,20.611781,29.008334,36.283081
8,321,31,0.088068,836,3483,0.240023,2.375,9.894886,162.786,0.46246,2.162348,0.046737,5.135577,21.396189,31.452336,39.339992
8,321,31,0.088068,842,3389,0.248451,2.392045,9.627841,168.778,0.479483,2.08558,0.049802,4.988802,20.079631,30.335707,37.943334
9,286,102,0.262887,702,4456,0.15754,1.809278,11.484536,263.698,0.679634,1.47138,0.059178,2.662136,16.898118,19.41615,23.754446
9,28,12,0.3,78,431,0.180974,1.95,10.775,1,0.025,40,0.00232,78,431,0,0
9,50,29,0.367089,133,954,0.139413,1.683544,12.075949,1,0.012658,79,0.001048,133,954,0,0
9,142,60,0.29703,358,2302,0.155517,1.772277,11.39604,1,0.00495,202,0.000434,358,2302,0,0
9,286,86,0.231183,638,4270,0.149415,1.715054,11.478495,244.713,0.657831,1.520148,0.05731,2.607136,17.449012,20.922468,25.597332
10,13,15,0.535714,35,384,0.091146,1.25,13.714286,1,0.035714,28,0.002604,35,384,0,0
10,6,7,0.538462,19,168,0.113095,1.461538,12.923077,1,0.076923,13,0.005952,19,168,0,0
10,1,3,0.75,10,67,0.149254,2.5,16.75,1,0.25,4,0.014925,10,67,0,0
10,7,7,0.5,18,179,0.100559,1.285714,12.785714,1,0.071429,14,0.005587,18,179,0,0
10,4,5,0.555556,17,133,0.12782,1.888889,14.777778,1,0.111111,9,0.007519,17,133,0,0
11,1,3,0.75,11,69,0.15942,2.75,17.25,1,0.25,4,0.014493,11,69,0,0
11,3,5,0.625,11,115,0.095652,1.375,14.375,1,0.125,8,0.008696,11,115,0,0
11,1,3,0.75,10,68,0.147059,2.5,17,1,0.25,4,0.014706,10,68,0,0
11,2,6,0.75,9,127,0.070866,1.125,15.875,1,0.125,8,0.007874,9,127,0,0
11,1,3,0.75,9,68,0.132353,2.25,17,1,0.25,4,0.014706,9,68,0,0
12,3,5,0.625,12,122,0.098361,1.5,15.25,1,0.125,8,0.008197,12,122,0,0
12,1,3,0.75,8,70,0.114286,2,17.5,1,0.25,4,0.014286,8,70,0,0
12,1,3,0.75,8,70,0.114286,2,17.5,1,0.25,4,0.014286,8,70,0,0
12,1,3,0.75,7,70,0.1,1.75,17.5,1,0.25,4,0.014286,7,70,0,0
12,1,3,0.75,8,70,0.114286,2,17.5,1,0.25,4,0.014286,8,70,0,0
13,1,3,0.75,8,70,0.114286,2,17.5,1,0.25,4,0.014286,8,70,0,0
13,1,3,0.75,7,70,0.1,1.75,17.5,1,0.25,4,0.014286,7,70,0,0
